Word	Category
Montreal	World Geography
Sydney	World Geography
Melbourne	World Geography
Auckland	World Geography
Rio de Janeiro	World Geography
Sao Paulo	World Geography
Barcelona	World Geography
Milan	World Geography
Munich	World Geography
Prague	World Geography
Budapest	World Geography
Venice	World Geography
Florence	World Geography
Nice	World Geography
Geneva	World Geography
Zurich	World Geography
Hong Kong	World Geography
Shanghai	World Geography
Dubai	World Geography
Mumbai	World Geography
Bangalore	World Geography
Cape Town	World Geography
Marrakech	World Geography
Istanbul	World Geography
St. Petersburg	World Geography
Kyoto	World Geography
Osaka	World Geography
Atlantic Ocean	World Geography
Pacific Ocean	World Geography
Indian Ocean	World Geography
Arctic Ocean	World Geography
Southern Ocean	World Geography
Mediterranean Sea	World Geography
Caribbean Sea	World Geography
Red Sea	World Geography
Black Sea	World Geography
Baltic Sea	World Geography
North Sea	World Geography
South China Sea	World Geography
Bay of Bengal	World Geography
Persian Gulf	World Geography
Gulf of Mexico	World Geography
Amazon River	World Geography
Nile River	World Geography
Ganges River	World Geography
Yangtze River	World Geography
Danube River	World Geography
Thames River	World Geography
Seine River	World Geography
Rhine River	World Geography
Volga River	World Geography
Congo River	World Geography
Dead Sea	World Geography
Caspian Sea	World Geography
Lake Victoria	World Geography
Lake Baikal	World Geography
Great Barrier Reef	World Geography
Eiffel Tower	World Geography
Big Ben	World Geography
Colosseum	World Geography
Leaning Tower of Pisa	World Geography
Stonehenge	World Geography
Taj Mahal	World Geography
Great Wall of China	World Geography
Machu Picchu	World Geography
Christ the Redeemer	World Geography
Petra	World Geography
Pyramids of Giza	World Geography
Sphinx	World Geography
Acropolis	World Geography
Parthenon	World Geography
Tower of London	World Geography
Buckingham Palace	World Geography
Vatican City	World Geography
Sistine Chapel	World Geography
Notre Dame	World Geography
Louvre	World Geography
Sydney Opera House	World Geography
Burj Khalifa	World Geography
Mount Everest	World Geography
Mount Fuji	World Geography
Matterhorn	World Geography
Amazon Rainforest	World Geography
Sahara Desert	World Geography
Gobi Desert	World Geography
Himalayas	World Geography
Alps	World Geography
Andes Mountains	World Geography
Victoria Falls	World Geography
Angel Falls	World Geography
Iguazu Falls	World Geography
Northern Lights	World Geography
Santorini	World Geography
Bali	World Geography
Fiji	World Geography
Maldives	World Geography
Galapagos Islands	World Geography
爱 (ài)	Mandarin
不好 (bù hǎo)	Mandarin
不是 (búshì)	Mandarin
不 (bù)	Mandarin
不可以 (bùxíng)	Mandarin
吃 (chī)	Mandarin
茶 (chá)	Mandarin
唱 (chàng)	Mandarin
车 (chē)	Mandarin
大 (dà)	Mandarin
打开 (dǎkāi)	Mandarin
读 (dú)	Mandarin
对不起 (duìbùqǐ)	Mandarin
放 (fàng)	Mandarin
给 (gěi)	Mandarin
高兴 (gāoxìng)	Mandarin
歌 (gē)	Mandarin
狗 (gǒu)	Mandarin
关上 (guānshàng)	Mandarin
很 (hěn)	Mandarin
好 (hǎo)	Mandarin
喝 (hē)	Mandarin
医院 (yīyuàn)	Mandarin
会 (huì)	Mandarin
画 (huà)	Mandarin
家 (jiā)	Mandarin
今天 (jīntiān)	Mandarin
跳 (tiào)	Mandarin
跳舞 (tiàowǔ)	Mandarin
咖啡 (kāfēi)	Mandarin
看 (kàn)	Mandarin
来 (lái)	Mandarin
冷 (lěng)	Mandarin
老师 (lǎoshī)	Mandarin
妈妈 (māma)	Mandarin
猫 (māo)	Mandarin
买 (mǎi)	Mandarin
没有 (méiyǒu)	Mandarin
明天 (míngtiān)	Mandarin
名字 (míngzi)	Mandarin
米饭 (mǐfàn)	Mandarin
你 (nǐ)	Mandarin
年龄 (niánlíng)	Mandarin
拿 (ná)	Mandarin
哪个 (nǎge)	Mandarin
哪里 (nǎlǐ)	Mandarin
难过 (nánguò)	Mandarin
牛奶 (niúnǎi)	Mandarin
朋友 (péngyǒu)	Mandarin
苹果 (píngguǒ)	Mandarin
钱 (qián)	Mandarin
去 (qù)	Mandarin
热 (rè)	Mandarin
跑 (pǎo)	Mandarin
请 (qǐng)	Mandarin
坐 (zuò)	Mandarin
学校 (xuéxiào)	Mandarin
谁 (shéi)	Mandarin
书 (shū)	Mandarin
睡觉 (shuìjiào)	Mandarin
水 (shuǐ)	Mandarin
她说 (tā shuō)	Mandarin
他 (tā)	Mandarin
她 (tā)	Mandarin
听 (tīng)	Mandarin
他们 (tāmen)	Mandarin
我们 (wǒmen)	Mandarin
我 (wǒ)	Mandarin
超市 (chāoshì)	Mandarin
香蕉 (xiāngjiāo)	Mandarin
小 (xiǎo)	Mandarin
谢谢 (xièxiè)	Mandarin
写 (xiě)	Mandarin
学习 (xuéxí)	Mandarin
需要 (xūyào)	Mandarin
学 (xué)	Mandarin
昨天 (zuótiān)	Mandarin
再见 (zàijiàn)	Mandarin
站 (zhàn)	Mandarin
桌子 (zhuōzi)	Mandarin
椅子 (yǐzi)	Mandarin
这个 (zhège)	Mandarin
怎么 (zěnme)	Mandarin
做什么 (zuò shénme)	Mandarin
找 (zhǎo)	Mandarin
公园 (gōngyuán)	Mandarin
工作 (gōngzuò)	Mandarin
说什么 (shuō shénme)	Mandarin
现在 (xiànzài)	Mandarin
星期一 (xīngqīyī)	Mandarin
学生 (xuéshēng)	Mandarin
说话 (shuōhuà)	Mandarin
说 (shuō)	Mandarin
为什么 (wèishénme)	Mandarin
什么时候 (shénme shíhou)	Mandarin
那里 (nàlǐ)	Mandarin
这里 (zhèlǐ)	Mandarin
那个 (nàge)	Mandarin
卖 (mài)	Mandarin
面条 (miàntiáo)	Mandarin
爸爸 (bàba)	Mandarin
笔 (bǐ)	Mandarin
是 (shì)	Mandarin
喜欢 (xǐhuan)	Mandarin
你好 nǐ hǎo [hello]	Mandarin-Beginner
谢谢 xièxiè [thank you]	Mandarin-Beginner
再见 zàijiàn [goodbye]	Mandarin-Beginner
请 qǐng [please]	Mandarin-Beginner
对不起 duìbùqǐ [sorry]	Mandarin-Beginner
是 shì [yes]	Mandarin-Beginner
不是 búshì [no]	Mandarin-Beginner
我 wǒ [I]	Mandarin-Beginner
你 nǐ [you]	Mandarin-Beginner
他 tā [he]	Mandarin-Beginner
她 tā [she]	Mandarin-Beginner
我们 wǒmen [we]	Mandarin-Beginner
他们 tāmen [they]	Mandarin-Beginner
吃 chī [eat]	Mandarin-Beginner
喝 hē [drink]	Mandarin-Beginner
看 kàn [look/watch]	Mandarin-Beginner
说 shuō [speak/say]	Mandarin-Beginner
听 tīng [listen]	Mandarin-Beginner
喜欢 xǐhuan [like]	Mandarin-Beginner
爱 ài [love]	Mandarin-Beginner
米饭 mǐfàn [rice]	Mandarin-Beginner
面条 miàntiáo [noodles]	Mandarin-Beginner
苹果 píngguǒ [apple]	Mandarin-Beginner
香蕉 xiāngjiāo [banana]	Mandarin-Beginner
牛奶 niúnǎi [milk]	Mandarin-Beginner
水 shuǐ [water]	Mandarin-Beginner
茶 chá [tea]	Mandarin-Beginner
咖啡 kāfēi [coffee]	Mandarin-Beginner
学校 xuéxiào [school]	Mandarin-Beginner
老师 lǎoshī [teacher]	Mandarin-Beginner
学生 xuéshēng [student]	Mandarin-Beginner
书 shū [book]	Mandarin-Beginner
笔 bǐ [pen]	Mandarin-Beginner
桌子 zhuōzi [table]	Mandarin-Beginner
椅子 yǐzi [chair]	Mandarin-Beginner
家 jiā [home/family]	Mandarin-Beginner
妈妈 māma [mom]	Mandarin-Beginner
爸爸 bàba [dad]	Mandarin-Beginner
朋友 péngyǒu [friend]	Mandarin-Beginner
狗 gǒu [dog]	Mandarin-Beginner
猫 māo [cat]	Mandarin-Beginner
车 chē [car]	Mandarin-Beginner
钱 qián [money]	Mandarin-Beginner
工作 gōngzuò [work]	Mandarin-Beginner
睡觉 shuìjiào [sleep]	Mandarin-Beginner
走 zǒu [walk]	Mandarin-Beginner
来 lái [come]	Mandarin-Beginner
去 qù [go]	Mandarin-Beginner
天气 tiānqì [weather]	Mandarin-Beginner
今天 jīntiān [today]	Mandarin-Beginner
明天 míngtiān [tomorrow]	Mandarin-Beginner
帮忙 bāngmáng [help]	Mandarin-Intermediate
记得 jìde [remember]	Mandarin-Intermediate
忘记 wàngjì [forget]	Mandarin-Intermediate
明白 míngbai [understand]	Mandarin-Intermediate
练习 liànxí [practice]	Mandarin-Intermediate
问题 wèntí [problem/question]	Mandarin-Intermediate
回答 huídá [answer]	Mandarin-Intermediate
超市 chāoshì [supermarket]	Mandarin-Intermediate
医院 yīyuàn [hospital]	Mandarin-Intermediate
火车站 huǒchēzhàn [train station]	Mandarin-Intermediate
机场 jīchǎng [airport]	Mandarin-Intermediate
电影院 diànyǐngyuàn [cinema]	Mandarin-Intermediate
生日快乐 shēngrì kuàilè [happy birthday]	Mandarin-Intermediate
没问题 méi wèntí [no problem]	Mandarin-Intermediate
太好了 tài hǎo le [great/awesome]	Mandarin-Intermediate
怎么样 zěnmeyàng [how is it]	Mandarin-Intermediate
几点 jǐ diǎn [what time]	Mandarin-Intermediate
多少钱 duōshǎo qián [how much]	Mandarin-Intermediate
打开 dǎkāi [open]	Mandarin-Intermediate
关上 guānshàng [close]	Mandarin-Intermediate
洗澡 xǐzǎo [take a shower]	Mandarin-Intermediate
打电话 dǎ diànhuà [make a phone call]	Mandarin-Intermediate
拍照 pāizhào [take a photo]	Mandarin-Intermediate
等等 děngdeng [wait]	Mandarin-Intermediate
小心 xiǎoxīn [be careful]	Mandarin-Intermediate
成功 chénggōng [success]	Mandarin-Intermediate
失败 shībài [failure]	Mandarin-Intermediate
努力 nǔlì [effort/hard work]	Mandarin-Intermediate
梦想 mèngxiǎng [dream]	Mandarin-Intermediate
计划 jìhuà [plan]	Mandarin-Intermediate
天气预报 tiānqì yùbào [weather forecast]	Mandarin-Intermediate
交通灯 jiāotōngdēng [traffic light]	Mandarin-Intermediate
身份证 shēnfènzhèng [ID card]	Mandarin-Intermediate
信用卡 xìnyòngkǎ [credit card]	Mandarin-Intermediate
菜单 càidān [menu]	Mandarin-Intermediate
服务员 fúwùyuán [waiter/waitress]	Mandarin-Intermediate
推荐 tuījiàn [recommend]	Mandarin-Intermediate
味道怎么样 wèidào zěnmeyàng [how does it taste]	Mandarin-Intermediate
太贵了 tài guì le [too expensive]	Mandarin-Intermediate
打折 dǎzhé [discount]	Mandarin-Intermediate
考试 kǎoshì [exam/test]	Mandarin-Intermediate
复习 fùxí [review]	Mandarin-Intermediate
提高 tígāo [improve]	Mandarin-Intermediate
发音 fāyīn [pronunciation]	Mandarin-Intermediate
语法 yǔfǎ [grammar]	Mandarin-Intermediate
文化 wénhuà [culture]	Mandarin-Intermediate
节日 jiérì [holiday]	Mandarin-Intermediate
春节 chūnjié [Spring Festival]	Mandarin-Intermediate
中秋节 zhōngqiūjié [Mid-Autumn Festival]	Mandarin-Intermediate
龙年 lóngnián [Year of the Dragon]	Mandarin-Intermediate
健康 jiànkāng [health]	Mandarin-Intermediate
xin chào [hello]	Vietnamese-Beginner
cảm ơn [thank you]	Vietnamese-Beginner
tạm biệt [goodbye]	Vietnamese-Beginner
làm ơn [please]	Vietnamese-Beginner
xin lỗi [sorry]	Vietnamese-Beginner
vâng [yes]	Vietnamese-Beginner
không [no]	Vietnamese-Beginner
tôi [I]	Vietnamese-Beginner
bạn [you]	Vietnamese-Beginner
anh ấy [he]	Vietnamese-Beginner
cô ấy [she]	Vietnamese-Beginner
chúng tôi [we]	Vietnamese-Beginner
họ [they]	Vietnamese-Beginner
ăn [eat]	Vietnamese-Beginner
uống [drink]	Vietnamese-Beginner
nhìn [look/watch]	Vietnamese-Beginner
nói [speak/say]	Vietnamese-Beginner
nghe [listen]	Vietnamese-Beginner
thích [like]	Vietnamese-Beginner
yêu [love]	Vietnamese-Beginner
cơm [rice]	Vietnamese-Beginner
mì [noodles]	Vietnamese-Beginner
táo [apple]	Vietnamese-Beginner
chuối [banana]	Vietnamese-Beginner
sữa [milk]	Vietnamese-Beginner
nước [water]	Vietnamese-Beginner
trà [tea]	Vietnamese-Beginner
cà phê [coffee]	Vietnamese-Beginner
trường học [school]	Vietnamese-Beginner
giáo viên [teacher]	Vietnamese-Beginner
học sinh [student]	Vietnamese-Beginner
sách [book]	Vietnamese-Beginner
bút [pen]	Vietnamese-Beginner
bàn [table]	Vietnamese-Beginner
ghế [chair]	Vietnamese-Beginner
nhà [home]	Vietnamese-Beginner
mẹ [mom]	Vietnamese-Beginner
bố [dad]	Vietnamese-Beginner
bạn bè [friend]	Vietnamese-Beginner
chó [dog]	Vietnamese-Beginner
mèo [cat]	Vietnamese-Beginner
xe [car]	Vietnamese-Beginner
tiền [money]	Vietnamese-Beginner
công việc [work]	Vietnamese-Beginner
ngủ [sleep]	Vietnamese-Beginner
đi bộ [walk]	Vietnamese-Beginner
đến [come]	Vietnamese-Beginner
đi [go]	Vietnamese-Beginner
thời tiết [weather]	Vietnamese-Beginner
hôm nay [today]	Vietnamese-Beginner
ngày mai [tomorrow]	Vietnamese-Beginner
giúp đỡ [help]	Vietnamese-Intermediate
nhớ [remember]	Vietnamese-Intermediate
quên [forget]	Vietnamese-Intermediate
hiểu [understand]	Vietnamese-Intermediate
luyện tập [practice]	Vietnamese-Intermediate
vấn đề [problem]	Vietnamese-Intermediate
câu trả lời [answer]	Vietnamese-Intermediate
siêu thị [supermarket]	Vietnamese-Intermediate
bệnh viện [hospital]	Vietnamese-Intermediate
ga tàu [train station]	Vietnamese-Intermediate
sân bay [airport]	Vietnamese-Intermediate
rạp chiếu phim [cinema]	Vietnamese-Intermediate
chúc mừng sinh nhật [happy birthday]	Vietnamese-Intermediate
không sao [no problem]	Vietnamese-Intermediate
tuyệt vời [great/awesome]	Vietnamese-Intermediate
thế nào [how is it]	Vietnamese-Intermediate
mấy giờ [what time]	Vietnamese-Intermediate
bao nhiêu tiền [how much]	Vietnamese-Intermediate
mở [open]	Vietnamese-Intermediate
đóng [close]	Vietnamese-Intermediate
tắm [take a shower]	Vietnamese-Intermediate
gọi điện [make a phone call]	Vietnamese-Intermediate
chụp ảnh [take a photo]	Vietnamese-Intermediate
chờ [wait]	Vietnamese-Intermediate
cẩn thận [be careful]	Vietnamese-Intermediate
thành công [success]	Vietnamese-Intermediate
thất bại [failure]	Vietnamese-Intermediate
nỗ lực [effort]	Vietnamese-Intermediate
giấc mơ [dream]	Vietnamese-Intermediate
kế hoạch [plan]	Vietnamese-Intermediate
dự báo thời tiết [weather forecast]	Vietnamese-Intermediate
đèn giao thông [traffic light]	Vietnamese-Intermediate
chứng minh thư [ID card]	Vietnamese-Intermediate
thẻ tín dụng [credit card]	Vietnamese-Intermediate
thực đơn [menu]	Vietnamese-Intermediate
nhân viên phục vụ [waiter]	Vietnamese-Intermediate
gợi ý [recommend]	Vietnamese-Intermediate
món ăn có ngon không [how does it taste]	Vietnamese-Intermediate
quá đắt [too expensive]	Vietnamese-Intermediate
giảm giá [discount]	Vietnamese-Intermediate
kỳ thi [exam]	Vietnamese-Intermediate
ôn tập [review]	Vietnamese-Intermediate
cải thiện [improve]	Vietnamese-Intermediate
phát âm [pronunciation]	Vietnamese-Intermediate
ngữ pháp [grammar]	Vietnamese-Intermediate
văn hóa [culture]	Vietnamese-Intermediate
lễ hội [holiday]	Vietnamese-Intermediate
Tết Nguyên Đán [Lunar New Year]	Vietnamese-Intermediate
Tết Trung Thu [Mid-Autumn Festival]	Vietnamese-Intermediate
Năm Rồng [Year of the Dragon]	Vietnamese-Intermediate
sức khỏe [health]	Vietnamese-Intermediate
hola [hello]	Spanish-Beginner
gracias [thank you]	Spanish-Beginner
adiós [goodbye]	Spanish-Beginner
por favor [please]	Spanish-Beginner
lo siento [sorry]	Spanish-Beginner
sí [yes]	Spanish-Beginner
no [no]	Spanish-Beginner
yo [I]	Spanish-Beginner
tú [you]	Spanish-Beginner
él [he]	Spanish-Beginner
ella [she]	Spanish-Beginner
nosotros [we]	Spanish-Beginner
ellos [they]	Spanish-Beginner
comer [eat]	Spanish-Beginner
beber [drink]	Spanish-Beginner
mirar [look/watch]	Spanish-Beginner
hablar [speak/say]	Spanish-Beginner
escuchar [listen]	Spanish-Beginner
gustar [like]	Spanish-Beginner
amar [love]	Spanish-Beginner
arroz [rice]	Spanish-Beginner
fideos [noodles]	Spanish-Beginner
manzana [apple]	Spanish-Beginner
plátano [banana]	Spanish-Beginner
leche [milk]	Spanish-Beginner
agua [water]	Spanish-Beginner
té [tea]	Spanish-Beginner
café [coffee]	Spanish-Beginner
escuela [school]	Spanish-Beginner
maestro [teacher]	Spanish-Beginner
estudiante [student]	Spanish-Beginner
libro [book]	Spanish-Beginner
lápiz [pen]	Spanish-Beginner
mesa [table]	Spanish-Beginner
silla [chair]	Spanish-Beginner
casa [home]	Spanish-Beginner
madre [mom]	Spanish-Beginner
padre [dad]	Spanish-Beginner
amigo [friend]	Spanish-Beginner
perro [dog]	Spanish-Beginner
gato [cat]	Spanish-Beginner
coche [car]	Spanish-Beginner
dinero [money]	Spanish-Beginner
trabajo [work]	Spanish-Beginner
dormir [sleep]	Spanish-Beginner
caminar [walk]	Spanish-Beginner
venir [come]	Spanish-Beginner
ir [go]	Spanish-Beginner
tiempo [weather]	Spanish-Beginner
hoy [today]	Spanish-Beginner
mañana [tomorrow]	Spanish-Beginner
ayudar [help]	Spanish-Intermediate
recordar [remember]	Spanish-Intermediate
olvidar [forget]	Spanish-Intermediate
entender [understand]	Spanish-Intermediate
practicar [practice]	Spanish-Intermediate
problema [problem]	Spanish-Intermediate
respuesta [answer]	Spanish-Intermediate
supermercado [supermarket]	Spanish-Intermediate
hospital [hospital]	Spanish-Intermediate
estación de tren [train station]	Spanish-Intermediate
aeropuerto [airport]	Spanish-Intermediate
cine [cinema]	Spanish-Intermediate
feliz cumpleaños [happy birthday]	Spanish-Intermediate
no hay problema [no problem]	Spanish-Intermediate
genial [great/awesome]	Spanish-Intermediate
¿cómo está? [how is it]	Spanish-Intermediate
¿qué hora es? [what time is it]	Spanish-Intermediate
¿cuánto cuesta? [how much]	Spanish-Intermediate
abrir [open]	Spanish-Intermediate
cerrar [close]	Spanish-Intermediate
ducharse [take a shower]	Spanish-Intermediate
llamar por teléfono [make a phone call]	Spanish-Intermediate
tomar foto [take a photo]	Spanish-Intermediate
esperar [wait]	Spanish-Intermediate
cuidado [be careful]	Spanish-Intermediate
éxito [success]	Spanish-Intermediate
fracaso [failure]	Spanish-Intermediate
esfuerzo [effort]	Spanish-Intermediate
sueño [dream]	Spanish-Intermediate
plan [plan]	Spanish-Intermediate
pronóstico del tiempo [weather forecast]	Spanish-Intermediate
semáforo [traffic light]	Spanish-Intermediate
documento de identidad [ID card]	Spanish-Intermediate
tarjeta de crédito [credit card]	Spanish-Intermediate
menú [menu]	Spanish-Intermediate
camarero [waiter]	Spanish-Intermediate
recomendar [recommend]	Spanish-Intermediate
¿qué tal el sabor? [how does it taste]	Spanish-Intermediate
demasiado caro [too expensive]	Spanish-Intermediate
descuento [discount]	Spanish-Intermediate
examen [exam]	Spanish-Intermediate
repasar [review]	Spanish-Intermediate
mejorar [improve]	Spanish-Intermediate
pronunciación [pronunciation]	Spanish-Intermediate
gramática [grammar]	Spanish-Intermediate
cultura [culture]	Spanish-Intermediate
fiesta [holiday]	Spanish-Intermediate
Año Nuevo [New Year]	Spanish-Intermediate
Día de Muertos [Day of the Dead]	Spanish-Intermediate
Año del Dragón [Year of the Dragon]	Spanish-Intermediate
salud [health]	Spanish-Intermediate
H₂O [water]	Chemistry - Easy
O₂ [oxygen]	Chemistry - Easy
NaCl [salt]	Chemistry - Easy
CO₂ [carbon dioxide]	Chemistry - Easy
Fe [iron]	Chemistry - Easy
Au [gold]	Chemistry - Easy
Ag [silver]	Chemistry - Easy
Cu [copper]	Chemistry - Easy
H [hydrogen]	Chemistry - Easy
He [helium]	Chemistry - Easy
N₂ [nitrogen]	Chemistry - Easy
C [carbon]	Chemistry - Easy
Pb [lead]	Chemistry - Easy
Hg [mercury]	Chemistry - Easy
Sn [tin]	Chemistry - Easy
Al [aluminum]	Chemistry - Easy
Ca [calcium]	Chemistry - Easy
K [potassium]	Chemistry - Easy
Na [sodium]	Chemistry - Easy
Cl [chlorine]	Chemistry - Easy
S [sulfur]	Chemistry - Easy
P [phosphorus]	Chemistry - Easy
Ne [neon]	Chemistry - Easy
Ar [argon]	Chemistry - Easy
Pt [platinum]	Chemistry - Easy
solid [state of matter]	Chemistry - Easy
liquid [state of matter]	Chemistry - Easy
gas [state of matter]	Chemistry - Easy
melting [phase change]	Chemistry - Easy
freezing [phase change]	Chemistry - Easy
evaporation [phase change]	Chemistry - Easy
condensation [phase change]	Chemistry - Easy
boiling [phase change]	Chemistry - Easy
atom [basic particle]	Chemistry - Easy
molecule [bonded atoms]	Chemistry - Easy
element [basic substance]	Chemistry - Easy
compound [chemical combination]	Chemistry - Easy
mixture [physical combination]	Chemistry - Easy
solution [homogeneous mixture]	Chemistry - Easy
proton [subatomic particle]	Chemistry - Easy
neutron [subatomic particle]	Chemistry - Easy
electron [subatomic particle]	Chemistry - Easy
nucleus [atom core]	Chemistry - Easy
periodic table [element organizer]	Chemistry - Easy
chemical reaction [change in matter]	Chemistry - Easy
rust [iron oxide]	Chemistry - Easy
photosynthesis [plant chemistry]	Chemistry - Easy
combustion [fire reaction]	Chemistry - Easy
acid [low pH substance]	Chemistry - Easy
base [high pH substance]	Chemistry - Easy
pH [acid-base scale]	Chemistry - Easy
neutral [neither acid nor base]	Chemistry - Easy
density [how compact matter is]	Chemistry - Easy
mass [measured in grams]	Chemistry - Easy
volume [measured in liters]	Chemistry - Easy
temperature [measured in degrees]	Chemistry - Easy
thermometer [lab instrument]	Chemistry - Easy
beaker [lab equipment]	Chemistry - Easy
test tube [lab equipment]	Chemistry - Easy
graduated cylinder [lab equipment]	Chemistry - Easy
goggles [lab safety]	Chemistry - Easy
lab coat [lab safety]	Chemistry - Easy
fire extinguisher [lab safety]	Chemistry - Easy
chemical formula [substance shorthand]	Chemistry - Easy
physical change [reversible change]	Chemistry - Easy
chemical change [irreversible change]	Chemistry - Easy
dissolving [going into solution]	Chemistry - Easy
filtration [separation method]	Chemistry - Easy
distillation [separation method]	Chemistry - Easy
metal [element type]	Chemistry - Easy
nonmetal [element type]	Chemistry - Easy
gas [matter state]	Chemistry - Easy
oxygen [O on periodic table]	Chemistry - Easy
carbon dioxide [CO₂]	Chemistry - Easy
baking soda [sodium bicarbonate]	Chemistry - Easy
vinegar [acetic acid]	Chemistry - Easy
hydrogen peroxide [H₂O₂]	Chemistry - Easy
ammonia [NH₃]	Chemistry - Easy
table sugar [sucrose]	Chemistry - Easy
stainless steel [iron alloy]	Chemistry - Easy
bronze [metal alloy]	Chemistry - Easy
brass [metal alloy]	Chemistry - Easy
diamond [carbon form]	Chemistry - Easy
graphite [carbon form]	Chemistry - Easy
litmus paper [pH test strip]	Chemistry - Easy
indicator [acid-base tester]	Chemistry - Easy
Bunsen burner [lab equipment]	Chemistry - Easy
flask [lab equipment]	Chemistry - Easy
magnet [magnetic material]	Chemistry - Easy
conductor [electrical property]	Chemistry - Easy
insulator [electrical property]	Chemistry - Easy
flammable [safety warning]	Chemistry - Easy
toxic [safety warning]	Chemistry - Easy
corrosive [safety warning]	Chemistry - Easy
conservation of mass [chemistry law]	Chemistry - Easy
reactant [before reaction]	Chemistry - Easy
product [after reaction]	Chemistry - Easy
catalyst [reaction helper]	Chemistry - Easy
energy [measured in joules]	Chemistry - Easy
exothermic [reaction type]	Chemistry - Easy
alkali metals [lithium sodium potassium]	Chemistry - Intermediate
alkaline earth metals [beryllium magnesium calcium]	Chemistry - Intermediate
halogens [fluorine chlorine bromine]	Chemistry - Intermediate
noble gases [helium neon argon]	Chemistry - Intermediate
transition metals [iron copper zinc]	Chemistry - Intermediate
metalloids [silicon germanium arsenic]	Chemistry - Intermediate
lanthanides [cerium europium gadolinium]	Chemistry - Intermediate
actinides [uranium plutonium thorium]	Chemistry - Intermediate
ionic bond [metal to nonmetal]	Chemistry - Intermediate
covalent bond [nonmetal to nonmetal]	Chemistry - Intermediate
metallic bond [metal to metal]	Chemistry - Intermediate
hydrogen bond [water cohesion]	Chemistry - Intermediate
van der Waals [London dispersion]	Chemistry - Intermediate
polar covalent [partial charges]	Chemistry - Intermediate
electronegativity [Pauling scale]	Chemistry - Intermediate
valence electrons [bonding electrons]	Chemistry - Intermediate
electron configuration [orbital filling order]	Chemistry - Intermediate
orbital [s p d f]	Chemistry - Intermediate
quantum numbers [n l ml ms]	Chemistry - Intermediate
Aufbau principle [orbital filling rule]	Chemistry - Intermediate
Hund\'s rule [parallel spin first]	Chemistry - Intermediate
Pauli exclusion [opposite spins only]	Chemistry - Intermediate
mole [Avogadro\'s number]	Chemistry - Intermediate
molar mass [molecular weight]	Chemistry - Intermediate
molarity [solution concentration]	Chemistry - Intermediate
stoichiometry [mole ratios]	Chemistry - Intermediate
limiting reagent [determines product amount]	Chemistry - Intermediate
excess reagent [not fully consumed]	Chemistry - Intermediate
percent yield [reaction efficiency]	Chemistry - Intermediate
empirical formula [reduced formula]	Chemistry - Intermediate
molecular formula [true formula]	Chemistry - Intermediate
Avogadro\'s number [6.022 × 10²³]	Chemistry - Intermediate
Arrhenius acid [proton donor]	Chemistry - Intermediate
Arrhenius base [hydroxide donor]	Chemistry - Intermediate
Brønsted-Lowry acid [H⁺ giver]	Chemistry - Intermediate
Brønsted-Lowry base [H⁺ receiver]	Chemistry - Intermediate
Lewis acid [empty orbital species]	Chemistry - Intermediate
Lewis base [lone pair species]	Chemistry - Intermediate
strong acid [HCl HNO₃ H₂SO₄]	Chemistry - Intermediate
weak acid [acetic acid HF]	Chemistry - Intermediate
buffer [weak acid plus salt]	Chemistry - Intermediate
titration [neutralization measurement]	Chemistry - Intermediate
equivalence point [neutralization complete]	Chemistry - Intermediate
pH scale [0 to 14 range]	Chemistry - Intermediate
organic chemistry [hydrocarbon based]	Chemistry - Intermediate
hydrocarbon [alkane alkene alkyne]	Chemistry - Intermediate
alkane [saturated hydrocarbon]	Chemistry - Intermediate
alkene [unsaturated hydrocarbon]	Chemistry - Intermediate
alkyne [unsaturated hydrocarbon]	Chemistry - Intermediate
functional group [determines properties]	Chemistry - Intermediate
alcohol [OH functional group]	Chemistry - Intermediate
carboxylic acid [organic acid]	Chemistry - Intermediate
ester [fruity smell compound]	Chemistry - Intermediate
amine [NH₂ functional group]	Chemistry - Intermediate
polymer [plastic and rubber]	Chemistry - Intermediate
monomer [polymer building block]	Chemistry - Intermediate
isomer [structural variation]	Chemistry - Intermediate
synthesis reaction [combination reaction]	Chemistry - Intermediate
decomposition reaction [breaking apart]	Chemistry - Intermediate
single replacement [substitution reaction]	Chemistry - Intermediate
double replacement [metathesis reaction]	Chemistry - Intermediate
combustion reaction [burning reaction]	Chemistry - Intermediate
redox reaction [oxidation-reduction]	Chemistry - Intermediate
oxidation [increase in charge]	Chemistry - Intermediate
reduction [decrease in charge]	Chemistry - Intermediate
oxidizing agent [causes oxidation]	Chemistry - Intermediate
reducing agent [causes reduction]	Chemistry - Intermediate
Boyle\'s law [P₁V₁ = P₂V₂]	Chemistry - Intermediate
Charles\'s law [V₁/T₁ = V₂/T₂]	Chemistry - Intermediate
Gay-Lussac\'s law [P₁/T₁ = P₂/T₂]	Chemistry - Intermediate
ideal gas law [PV = nRT]	Chemistry - Intermediate
Dalton\'s law [total pressure law]	Chemistry - Intermediate
STP [0°C and 1 atm]	Chemistry - Intermediate
equilibrium [dynamic balance]	Chemistry - Intermediate
Le Chatelier\'s principle [stress response]	Chemistry - Intermediate
equilibrium constant [Keq expression]	Chemistry - Intermediate
reaction rate [concentration per time]	Chemistry - Intermediate
activation energy [reaction energy barrier]	Chemistry - Intermediate
enthalpy [ΔH measurement]	Chemistry - Intermediate
exothermic reaction [releases heat]	Chemistry - Intermediate
