Word	Category	Study
Lake Erie	US Geography	Y
Lake Tahoe	US Geography	Y
Chesapeake Bay	US Geography	Y
Puget Sound	US Geography	Y
Florida Keys	US Geography	Y
Cape Cod	US Geography	Y
Martha's Vineyard	US Geography	Y
Long Island	US Geography	Y
Manhattan	US Geography	Y
Hollywood	US Geography	Y
Silicon Valley	US Geography	Y
Wall Street	US Geography	Y
Broadway	US Geography	Y
Bourbon Street	US Geography	Y
Route 66	US Geography	Y
Pacific Coast Highway	US Geography	Y
Appalachian Trail	US Geography	Y
Mount Whitney	US Geography	Y
Mount Rainier	US Geography	Y
Canada	World Geography	Y
Ottawa	World Geography	Y
Mexico	World Geography	Y
Mexico City	World Geography	Y
Brazil	World Geography	Y
Brasilia	World Geography	Y
Argentina	World Geography	Y
Buenos Aires	World Geography	Y
Chile	World Geography	Y
Santiago	World Geography	Y
Peru	World Geography	Y
Lima	World Geography	Y
Colombia	World Geography	Y
Bogota	World Geography	Y
Venezuela	World Geography	Y
Caracas	World Geography	Y
Ecuador	World Geography	Y
Quito	World Geography	Y
United Kingdom	World Geography	Y
London	World Geography	Y
France	World Geography	Y
Paris	World Geography	Y
Germany	World Geography	Y
Berlin	World Geography	Y
Italy	World Geography	Y
Rome	World Geography	Y
Spain	World Geography	Y
Madrid	World Geography	Y
Portugal	World Geography	Y
Lisbon	World Geography	Y
Netherlands	World Geography	Y
Amsterdam	World Geography	Y
Belgium	World Geography	Y
Brussels	World Geography	Y
Switzerland	World Geography	Y
Bern	World Geography	Y
Austria	World Geography	Y
Vienna	World Geography	Y
Poland	World Geography	Y
Warsaw	World Geography	Y
Greece	World Geography	Y
Athens	World Geography	Y
Sweden	World Geography	Y
Stockholm	World Geography	Y
Norway	World Geography	Y
Oslo	World Geography	Y
Denmark	World Geography	Y
Copenhagen	World Geography	Y
Finland	World Geography	Y
Helsinki	World Geography	Y
Ireland	World Geography	Y
Dublin	World Geography	Y
Scotland	World Geography	Y
Edinburgh	World Geography	Y
Russia	World Geography	Y
Moscow	World Geography	Y
Ukraine	World Geography	Y
Kyiv	World Geography	Y
Turkey	World Geography	Y
Ankara	World Geography	Y
China	World Geography	Y
Beijing	World Geography	Y
Japan	World Geography	Y
Tokyo	World Geography	Y
South Korea	World Geography	Y
Seoul	World Geography	Y
India	World Geography	Y
New Delhi	World Geography	Y
Thailand	World Geography	Y
Bangkok	World Geography	Y
Vietnam	World Geography	Y
Hanoi	World Geography	Y
Indonesia	World Geography	Y
Jakarta	World Geography	Y
Philippines	World Geography	Y
Manila	World Geography	Y
Malaysia	World Geography	Y
Kuala Lumpur	World Geography	Y
Singapore	World Geography	Y
Australia	World Geography	Y
Canberra	World Geography	Y
New Zealand	World Geography	Y
Wellington	World Geography	Y
Egypt	World Geography	Y
Cairo	World Geography	Y
South Africa	World Geography	Y
Pretoria	World Geography	Y
Morocco	World Geography	Y
Rabat	World Geography	Y
Kenya	World Geography	Y
Nairobi	World Geography	Y
Nigeria	World Geography	Y
Abuja	World Geography	Y
Ethiopia	World Geography	Y
Addis Ababa	World Geography	Y
Israel	World Geography	Y
Jerusalem	World Geography	Y
Saudi Arabia	World Geography	Y
Riyadh	World Geography	Y
United Arab Emirates	World Geography	Y
Abu Dhabi	World Geography	Y
Toronto	World Geography	Y
Vancouver	World Geography	Y
Montreal	World Geography	Y
Sydney	World Geography	Y
Melbourne	World Geography	Y
Auckland	World Geography	Y
Rio de Janeiro	World Geography	Y
Sao Paulo	World Geography	Y
Barcelona	World Geography	Y
Milan	World Geography	Y
Munich	World Geography	Y
Prague	World Geography	Y
Budapest	World Geography	Y
Venice	World Geography	Y
Florence	World Geography	Y
Nice	World Geography	Y
Geneva	World Geography	Y
Zurich	World Geography	Y
Hong Kong	World Geography	Y
Shanghai	World Geography	Y
Dubai	World Geography	Y
Mumbai	World Geography	Y
Bangalore	World Geography	Y
Cape Town	World Geography	Y
Marrakech	World Geography	Y
Istanbul	World Geography	Y
St. Petersburg	World Geography	Y
Kyoto	World Geography	Y
Osaka	World Geography	Y
Atlantic Ocean	World Geography	Y
Pacific Ocean	World Geography	Y
Indian Ocean	World Geography	Y
Arctic Ocean	World Geography	Y
Southern Ocean	World Geography	Y
Mediterranean Sea	World Geography	Y
Caribbean Sea	World Geography	Y
Red Sea	World Geography	Y
Black Sea	World Geography	Y
Baltic Sea	World Geography	Y
North Sea	World Geography	Y
South China Sea	World Geography	Y
Bay of Bengal	World Geography	Y
Persian Gulf	World Geography	Y
Gulf of Mexico	World Geography	Y
Amazon River	World Geography	Y
Nile River	World Geography	Y
Ganges River	World Geography	Y
Yangtze River	World Geography	Y
Danube River	World Geography	Y
Thames River	World Geography	Y
Seine River	World Geography	Y
Rhine River	World Geography	Y
Volga River	World Geography	Y
Congo River	World Geography	Y
Dead Sea	World Geography	Y
Caspian Sea	World Geography	Y
Lake Victoria	World Geography	Y
Lake Baikal	World Geography	Y
Great Barrier Reef	World Geography	Y
Eiffel Tower	World Geography	Y
Big Ben	World Geography	Y
Colosseum	World Geography	Y
Leaning Tower of Pisa	World Geography	Y
Stonehenge	World Geography	Y
Taj Mahal	World Geography	Y
Great Wall of China	World Geography	Y
Machu Picchu	World Geography	Y
Christ the Redeemer	World Geography	Y
Petra	World Geography	Y
Pyramids of Giza	World Geography	Y
Sphinx	World Geography	Y
Acropolis	World Geography	Y
Parthenon	World Geography	Y
Tower of London	World Geography	Y
Buckingham Palace	World Geography	Y
Vatican City	World Geography	Y
Sistine Chapel	World Geography	Y
Notre Dame	World Geography	Y
Louvre	World Geography	Y
Sydney Opera House	World Geography	Y
Burj Khalifa	World Geography	Y
Mount Everest	World Geography	Y
Mount Fuji	World Geography	Y
Matterhorn	World Geography	Y
Amazon Rainforest	World Geography	Y
Sahara Desert	World Geography	Y
Gobi Desert	World Geography	Y
Himalayas	World Geography	Y
Alps	World Geography	Y
Andes Mountains	World Geography	Y
Victoria Falls	World Geography	Y
Angel Falls	World Geography	Y
Iguazu Falls	World Geography	Y
Northern Lights	World Geography	Y
Santorini	World Geography	Y
Bali	World Geography	Y
Fiji	World Geography	Y
Maldives	World Geography	Y
Galapagos Islands	World Geography	Y
? (ài)	Mandarin	Y
?? (bù h?o)	Mandarin	Y
?? (búshì)	Mandarin	Y
? (bù)	Mandarin	Y
??? (bùxíng)	Mandarin	Y
? (ch?)	Mandarin	Y
? (chá)	Mandarin	Y
? (chàng)	Mandarin	Y
? (ch?)	Mandarin	Y
? (dà)	Mandarin	Y
?? (d?k?i)	Mandarin	Y
? (dú)	Mandarin	Y
??? (duìbùq?)	Mandarin	Y
? (fàng)	Mandarin	Y
? (g?i)	Mandarin	Y
?? (g?oxìng)	Mandarin	Y
? (g?)	Mandarin	Y
? (g?u)	Mandarin	Y
?? (gu?nshàng)	Mandarin	Y
? (h?n)	Mandarin	Y
? (h?o)	Mandarin	Y
? (h?)	Mandarin	Y
?? (y?yuàn)	Mandarin	Y
? (huì)	Mandarin	Y
? (huà)	Mandarin	Y
? (ji?)	Mandarin	Y
?? (j?nti?n)	Mandarin	Y
? (tiào)	Mandarin	Y
?? (tiàow?)	Mandarin	Y
?? (k?f?i)	Mandarin	Y
? (kàn)	Mandarin	Y
? (lái)	Mandarin	Y
? (l?ng)	Mandarin	Y
?? (l?osh?)	Mandarin	Y
?? (m?ma)	Mandarin	Y
? (m?o)	Mandarin	Y
? (m?i)	Mandarin	Y
?? (méiy?u)	Mandarin	Y
?? (míngti?n)	Mandarin	Y
?? (míngzi)	Mandarin	Y
?? (m?fàn)	Mandarin	Y
? (n?)	Mandarin	Y
?? (niánlíng)	Mandarin	Y
? (ná)	Mandarin	Y
?? (n?ge)	Mandarin	Y
?? (n?l?)	Mandarin	Y
?? (nánguò)	Mandarin	Y
?? (niún?i)	Mandarin	Y
?? (péngy?u)	Mandarin	Y
?? (pínggu?)	Mandarin	Y
? (qián)	Mandarin	Y
? (qù)	Mandarin	Y
? (rè)	Mandarin	Y
? (p?o)	Mandarin	Y
? (q?ng)	Mandarin	Y
? (zuò)	Mandarin	Y
?? (xuéxiào)	Mandarin	Y
? (shéi)	Mandarin	Y
? (sh?)	Mandarin	Y
?? (shuìjiào)	Mandarin	Y
? (shu?)	Mandarin	Y
?? (t? shu?)	Mandarin	Y
? (t?)	Mandarin	Y
? (t?)	Mandarin	Y
? (t?ng)	Mandarin	Y
?? (t?men)	Mandarin	Y
?? (w?men)	Mandarin	Y
? (w?)	Mandarin	Y
?? (ch?oshì)	Mandarin	Y
?? (xi?ngji?o)	Mandarin	Y
? (xi?o)	Mandarin	Y
?? (xièxiè)	Mandarin	Y
? (xi?)	Mandarin	Y
?? (xuéxí)	Mandarin	Y
?? (x?yào)	Mandarin	Y
? (xué)	Mandarin	Y
?? (zuóti?n)	Mandarin	Y
?? (zàijiàn)	Mandarin	Y
? (zhàn)	Mandarin	Y
?? (zhu?zi)	Mandarin	Y
?? (y?zi)	Mandarin	Y
?? (zhège)	Mandarin	Y
?? (z?nme)	Mandarin	Y
??? (zuò shénme)	Mandarin	Y
? (zh?o)	Mandarin	Y
?? (g?ngyuán)	Mandarin	Y
?? (g?ngzuò)	Mandarin	Y
??? (shu? shénme)	Mandarin	Y
?? (xiànzài)	Mandarin	Y
??? (x?ngq?y?)	Mandarin	Y
?? (xuésh?ng)	Mandarin	Y
?? (shu?huà)	Mandarin	Y
? (shu?)	Mandarin	Y
??? (wèishénme)	Mandarin	Y
???? (shénme shíhou)	Mandarin	Y
?? (nàl?)	Mandarin	Y
?? (zhèl?)	Mandarin	Y
?? (nàge)	Mandarin	Y
? (mài)	Mandarin	Y
?? (miàntiáo)	Mandarin	Y
?? (bàba)	Mandarin	Y
? (b?)	Mandarin	Y
? (shì)	Mandarin	Y
?? (x?huan)	Mandarin	Y
?? n? h?o [hello]	Mandarin-Beginner	Y
?? xièxiè [thank you]	Mandarin-Beginner	Y
?? zàijiàn [goodbye]	Mandarin-Beginner	Y
? q?ng [please]	Mandarin-Beginner	Y
??? duìbùq? [sorry]	Mandarin-Beginner	Y
? shì [yes]	Mandarin-Beginner	Y
?? búshì [no]	Mandarin-Beginner	Y
? w? [I]	Mandarin-Beginner	Y
? n? [you]	Mandarin-Beginner	Y
? t? [he]	Mandarin-Beginner	Y
? t? [she]	Mandarin-Beginner	Y
?? w?men [we]	Mandarin-Beginner	Y
?? t?men [they]	Mandarin-Beginner	Y
? ch? [eat]	Mandarin-Beginner	Y
? h? [drink]	Mandarin-Beginner	Y
? kàn [look/watch]	Mandarin-Beginner	Y
? shu? [speak/say]	Mandarin-Beginner	Y
? t?ng [listen]	Mandarin-Beginner	Y
?? x?huan [like]	Mandarin-Beginner	Y
? ài [love]	Mandarin-Beginner	Y
?? m?fàn [rice]	Mandarin-Beginner	Y
?? miàntiáo [noodles]	Mandarin-Beginner	Y
?? pínggu? [apple]	Mandarin-Beginner	Y
?? xi?ngji?o [banana]	Mandarin-Beginner	Y
?? niún?i [milk]	Mandarin-Beginner	Y
? shu? [water]	Mandarin-Beginner	Y
? chá [tea]	Mandarin-Beginner	Y
?? k?f?i [coffee]	Mandarin-Beginner	Y
?? xuéxiào [school]	Mandarin-Beginner	Y
?? l?osh? [teacher]	Mandarin-Beginner	Y
?? xuésh?ng [student]	Mandarin-Beginner	Y
? sh? [book]	Mandarin-Beginner	Y
? b? [pen]	Mandarin-Beginner	Y
?? zhu?zi [table]	Mandarin-Beginner	Y
?? y?zi [chair]	Mandarin-Beginner	Y
? ji? [home/family]	Mandarin-Beginner	Y
?? m?ma [mom]	Mandarin-Beginner	Y
?? bàba [dad]	Mandarin-Beginner	Y
?? péngy?u [friend]	Mandarin-Beginner	Y
? g?u [dog]	Mandarin-Beginner	Y
? m?o [cat]	Mandarin-Beginner	Y
? ch? [car]	Mandarin-Beginner	Y
? qián [money]	Mandarin-Beginner	Y
?? g?ngzuò [work]	Mandarin-Beginner	Y
?? shuìjiào [sleep]	Mandarin-Beginner	Y
? z?u [walk]	Mandarin-Beginner	Y
? lái [come]	Mandarin-Beginner	Y
? qù [go]	Mandarin-Beginner	Y
?? ti?nqì [weather]	Mandarin-Beginner	Y
?? j?nti?n [today]	Mandarin-Beginner	Y
?? míngti?n [tomorrow]	Mandarin-Beginner	Y
?? b?ngmáng [help]	Mandarin-Intermediate	Y
?? jìde [remember]	Mandarin-Intermediate	Y
?? wàngjì [forget]	Mandarin-Intermediate	Y
?? míngbai [understand]	Mandarin-Intermediate	Y
?? liànxí [practice]	Mandarin-Intermediate	Y
?? wèntí [problem/question]	Mandarin-Intermediate	Y
?? huídá [answer]	Mandarin-Intermediate	Y
?? ch?oshì [supermarket]	Mandarin-Intermediate	Y
?? y?yuàn [hospital]	Mandarin-Intermediate	Y
??? hu?ch?zhàn [train station]	Mandarin-Intermediate	Y
?? j?ch?ng [airport]	Mandarin-Intermediate	Y
??? diàny?ngyuàn [cinema]	Mandarin-Intermediate	Y
???? sh?ngrì kuàilè [happy birthday]	Mandarin-Intermediate	Y
??? méi wèntí [no problem]	Mandarin-Intermediate	Y
??? tài h?o le [great/awesome]	Mandarin-Intermediate	Y
??? z?nmeyàng [how is it]	Mandarin-Intermediate	Y
?? j? di?n [what time]	Mandarin-Intermediate	Y
??? du?sh?o qián [how much]	Mandarin-Intermediate	Y
?? d?k?i [open]	Mandarin-Intermediate	Y
?? gu?nshàng [close]	Mandarin-Intermediate	Y
?? x?z?o [take a shower]	Mandarin-Intermediate	Y
??? d? diànhuà [make a phone call]	Mandarin-Intermediate	Y
?? p?izhào [take a photo]	Mandarin-Intermediate	Y
?? d?ngdeng [wait]	Mandarin-Intermediate	Y
?? xi?ox?n [be careful]	Mandarin-Intermediate	Y
?? chéngg?ng [success]	Mandarin-Intermediate	Y
?? sh?bài [failure]	Mandarin-Intermediate	Y
?? n?lì [effort/hard work]	Mandarin-Intermediate	Y
?? mèngxi?ng [dream]	Mandarin-Intermediate	Y
?? jìhuà [plan]	Mandarin-Intermediate	Y
???? ti?nqì yùbào [weather forecast]	Mandarin-Intermediate	Y
??? ji?ot?ngd?ng [traffic light]	Mandarin-Intermediate	Y
??? sh?nfènzhèng [ID card]	Mandarin-Intermediate	Y
??? xìnyòngk? [credit card]	Mandarin-Intermediate	Y
?? càid?n [menu]	Mandarin-Intermediate	Y
??? fúwùyuán [waiter/waitress]	Mandarin-Intermediate	Y
?? tu?jiàn [recommend]	Mandarin-Intermediate	Y
????? wèidào z?nmeyàng [how does it taste]	Mandarin-Intermediate	Y
??? tài guì le [too expensive]	Mandarin-Intermediate	Y
?? d?zhé [discount]	Mandarin-Intermediate	Y
?? k?oshì [exam/test]	Mandarin-Intermediate	Y
?? fùxí [review]	Mandarin-Intermediate	Y
?? tíg?o [improve]	Mandarin-Intermediate	Y
?? f?y?n [pronunciation]	Mandarin-Intermediate	Y
?? y?f? [grammar]	Mandarin-Intermediate	Y
?? wénhuà [culture]	Mandarin-Intermediate	Y
?? jiérì [holiday]	Mandarin-Intermediate	Y
?? ch?njié [Spring Festival]	Mandarin-Intermediate	Y
??? zh?ngqi?jié [Mid-Autumn Festival]	Mandarin-Intermediate	Y
?? lóngnián [Year of the Dragon]	Mandarin-Intermediate	Y
?? jiànk?ng [health]	Mandarin-Intermediate	Y
xin chào [hello]	Vietnamese-Beginner	Y
c?m ?n [thank you]	Vietnamese-Beginner	Y
t?m bi?t [goodbye]	Vietnamese-Beginner	Y
làm ?n [please]	Vietnamese-Beginner	Y
xin l?i [sorry]	Vietnamese-Beginner	Y
vâng [yes]	Vietnamese-Beginner	Y
không [no]	Vietnamese-Beginner	Y
tôi [I]	Vietnamese-Beginner	Y
b?n [you]	Vietnamese-Beginner	Y
anh ?y [he]	Vietnamese-Beginner	Y
cô ?y [she]	Vietnamese-Beginner	Y
chúng tôi [we]	Vietnamese-Beginner	Y
h? [they]	Vietnamese-Beginner	Y
?n [eat]	Vietnamese-Beginner	Y
u?ng [drink]	Vietnamese-Beginner	Y
nhìn [look/watch]	Vietnamese-Beginner	Y
nói [speak/say]	Vietnamese-Beginner	Y
nghe [listen]	Vietnamese-Beginner	Y
thích [like]	Vietnamese-Beginner	Y
yêu [love]	Vietnamese-Beginner	Y
c?m [rice]	Vietnamese-Beginner	Y
mì [noodles]	Vietnamese-Beginner	Y
táo [apple]	Vietnamese-Beginner	Y
chu?i [banana]	Vietnamese-Beginner	Y
s?a [milk]	Vietnamese-Beginner	Y
n??c [water]	Vietnamese-Beginner	Y
trà [tea]	Vietnamese-Beginner	Y
cà phê [coffee]	Vietnamese-Beginner	Y
tr??ng h?c [school]	Vietnamese-Beginner	Y
giáo viên [teacher]	Vietnamese-Beginner	Y
h?c sinh [student]	Vietnamese-Beginner	Y
sách [book]	Vietnamese-Beginner	Y
bút [pen]	Vietnamese-Beginner	Y
bàn [table]	Vietnamese-Beginner	Y
gh? [chair]	Vietnamese-Beginner	Y
nhà [home]	Vietnamese-Beginner	Y
m? [mom]	Vietnamese-Beginner	Y
b? [dad]	Vietnamese-Beginner	Y
b?n bè [friend]	Vietnamese-Beginner	Y
chó [dog]	Vietnamese-Beginner	Y
mèo [cat]	Vietnamese-Beginner	Y
xe [car]	Vietnamese-Beginner	Y
ti?n [money]	Vietnamese-Beginner	Y
công vi?c [work]	Vietnamese-Beginner	Y
ng? [sleep]	Vietnamese-Beginner	Y
?i b? [walk]	Vietnamese-Beginner	Y
??n [come]	Vietnamese-Beginner	Y
?i [go]	Vietnamese-Beginner	Y
th?i ti?t [weather]	Vietnamese-Beginner	Y
hôm nay [today]	Vietnamese-Beginner	Y
ngày mai [tomorrow]	Vietnamese-Beginner	Y
giúp ?? [help]	Vietnamese-Intermediate	Y
nh? [remember]	Vietnamese-Intermediate	Y
quên [forget]	Vietnamese-Intermediate	Y
hi?u [understand]	Vietnamese-Intermediate	Y
luy?n t?p [practice]	Vietnamese-Intermediate	Y
v?n ?? [problem]	Vietnamese-Intermediate	Y
câu tr? l?i [answer]	Vietnamese-Intermediate	Y
siêu th? [supermarket]	Vietnamese-Intermediate	Y
b?nh vi?n [hospital]	Vietnamese-Intermediate	Y
ga tàu [train station]	Vietnamese-Intermediate	Y
sân bay [airport]	Vietnamese-Intermediate	Y
r?p chi?u phim [cinema]	Vietnamese-Intermediate	Y
chúc m?ng sinh nh?t [happy birthday]	Vietnamese-Intermediate	Y
không sao [no problem]	Vietnamese-Intermediate	Y
tuy?t v?i [great/awesome]	Vietnamese-Intermediate	Y
th? nào [how is it]	Vietnamese-Intermediate	Y
m?y gi? [what time]	Vietnamese-Intermediate	Y
bao nhiêu ti?n [how much]	Vietnamese-Intermediate	Y
m? [open]	Vietnamese-Intermediate	Y
?óng [close]	Vietnamese-Intermediate	Y
t?m [take a shower]	Vietnamese-Intermediate	Y
g?i ?i?n [make a phone call]	Vietnamese-Intermediate	Y
ch?p ?nh [take a photo]	Vietnamese-Intermediate	Y
ch? [wait]	Vietnamese-Intermediate	Y
c?n th?n [be careful]	Vietnamese-Intermediate	Y
thành công [success]	Vietnamese-Intermediate	Y
th?t b?i [failure]	Vietnamese-Intermediate	Y
n? l?c [effort]	Vietnamese-Intermediate	Y
gi?c m? [dream]	Vietnamese-Intermediate	Y
k? ho?ch [plan]	Vietnamese-Intermediate	Y
d? báo th?i ti?t [weather forecast]	Vietnamese-Intermediate	Y
?èn giao thông [traffic light]	Vietnamese-Intermediate	Y
ch?ng minh th? [ID card]	Vietnamese-Intermediate	Y
th? tín d?ng [credit card]	Vietnamese-Intermediate	Y
th?c ??n [menu]	Vietnamese-Intermediate	Y
nhân viên ph?c v? [waiter]	Vietnamese-Intermediate	Y
g?i ý [recommend]	Vietnamese-Intermediate	Y
món ?n có ngon không [how does it taste]	Vietnamese-Intermediate	Y
quá ??t [too expensive]	Vietnamese-Intermediate	Y
gi?m giá [discount]	Vietnamese-Intermediate	Y
k? thi [exam]	Vietnamese-Intermediate	Y
ôn t?p [review]	Vietnamese-Intermediate	Y
c?i thi?n [improve]	Vietnamese-Intermediate	Y
phát âm [pronunciation]	Vietnamese-Intermediate	Y
ng? pháp [grammar]	Vietnamese-Intermediate	Y
v?n hóa [culture]	Vietnamese-Intermediate	Y
l? h?i [holiday]	Vietnamese-Intermediate	Y
T?t Nguyên ?án [Lunar New Year]	Vietnamese-Intermediate	Y
T?t Trung Thu [Mid-Autumn Festival]	Vietnamese-Intermediate	Y
N?m R?ng [Year of the Dragon]	Vietnamese-Intermediate	Y
s?c kh?e [health]	Vietnamese-Intermediate	Y
hola [hello]	Spanish-Beginner	Y
gracias [thank you]	Spanish-Beginner	Y
adiós [goodbye]	Spanish-Beginner	Y
por favor [please]	Spanish-Beginner	Y
lo siento [sorry]	Spanish-Beginner	Y
sí [yes]	Spanish-Beginner	Y
no [no]	Spanish-Beginner	Y
yo [I]	Spanish-Beginner	Y
tú [you]	Spanish-Beginner	Y
él [he]	Spanish-Beginner	Y
ella [she]	Spanish-Beginner	Y
nosotros [we]	Spanish-Beginner	Y
ellos [they]	Spanish-Beginner	Y
comer [eat]	Spanish-Beginner	Y
beber [drink]	Spanish-Beginner	Y
mirar [look/watch]	Spanish-Beginner	Y
hablar [speak/say]	Spanish-Beginner	Y
escuchar [listen]	Spanish-Beginner	Y
gustar [like]	Spanish-Beginner	Y
amar [love]	Spanish-Beginner	Y
arroz [rice]	Spanish-Beginner	Y
fideos [noodles]	Spanish-Beginner	Y
manzana [apple]	Spanish-Beginner	Y
plátano [banana]	Spanish-Beginner	Y
leche [milk]	Spanish-Beginner	Y
agua [water]	Spanish-Beginner	Y
té [tea]	Spanish-Beginner	Y
café [coffee]	Spanish-Beginner	Y
escuela [school]	Spanish-Beginner	Y
maestro [teacher]	Spanish-Beginner	Y
estudiante [student]	Spanish-Beginner	Y
libro [book]	Spanish-Beginner	Y
lápiz [pen]	Spanish-Beginner	Y
mesa [table]	Spanish-Beginner	Y
silla [chair]	Spanish-Beginner	Y
casa [home]	Spanish-Beginner	Y
madre [mom]	Spanish-Beginner	Y
padre [dad]	Spanish-Beginner	Y
amigo [friend]	Spanish-Beginner	Y
perro [dog]	Spanish-Beginner	Y
gato [cat]	Spanish-Beginner	Y
coche [car]	Spanish-Beginner	Y
dinero [money]	Spanish-Beginner	Y
trabajo [work]	Spanish-Beginner	Y
dormir [sleep]	Spanish-Beginner	Y
caminar [walk]	Spanish-Beginner	Y
venir [come]	Spanish-Beginner	Y
ir [go]	Spanish-Beginner	Y
tiempo [weather]	Spanish-Beginner	Y
hoy [today]	Spanish-Beginner	Y
mañana [tomorrow]	Spanish-Beginner	Y
ayudar [help]	Spanish-Intermediate	Y
recordar [remember]	Spanish-Intermediate	Y
olvidar [forget]	Spanish-Intermediate	Y
entender [understand]	Spanish-Intermediate	Y
practicar [practice]	Spanish-Intermediate	Y
problema [problem]	Spanish-Intermediate	Y
respuesta [answer]	Spanish-Intermediate	Y
supermercado [supermarket]	Spanish-Intermediate	Y
hospital [hospital]	Spanish-Intermediate	Y
estación de tren [train station]	Spanish-Intermediate	Y
aeropuerto [airport]	Spanish-Intermediate	Y
cine [cinema]	Spanish-Intermediate	Y
feliz cumpleaños [happy birthday]	Spanish-Intermediate	Y
no hay problema [no problem]	Spanish-Intermediate	Y
genial [great/awesome]	Spanish-Intermediate	Y
¿cómo está? [how is it]	Spanish-Intermediate	Y
¿qué hora es? [what time is it]	Spanish-Intermediate	Y
¿cuánto cuesta? [how much]	Spanish-Intermediate	Y
abrir [open]	Spanish-Intermediate	Y
cerrar [close]	Spanish-Intermediate	Y
ducharse [take a shower]	Spanish-Intermediate	Y
llamar por teléfono [make a phone call]	Spanish-Intermediate	Y
tomar foto [take a photo]	Spanish-Intermediate	Y
esperar [wait]	Spanish-Intermediate	Y
cuidado [be careful]	Spanish-Intermediate	Y
éxito [success]	Spanish-Intermediate	Y
fracaso [failure]	Spanish-Intermediate	Y
esfuerzo [effort]	Spanish-Intermediate	Y
sueño [dream]	Spanish-Intermediate	Y
plan [plan]	Spanish-Intermediate	Y
pronóstico del tiempo [weather forecast]	Spanish-Intermediate	Y
semáforo [traffic light]	Spanish-Intermediate	Y
documento de identidad [ID card]	Spanish-Intermediate	Y
tarjeta de crédito [credit card]	Spanish-Intermediate	Y
menú [menu]	Spanish-Intermediate	Y
camarero [waiter]	Spanish-Intermediate	Y
recomendar [recommend]	Spanish-Intermediate	Y
¿qué tal el sabor? [how does it taste]	Spanish-Intermediate	Y
demasiado caro [too expensive]	Spanish-Intermediate	Y
descuento [discount]	Spanish-Intermediate	Y
examen [exam]	Spanish-Intermediate	Y
repasar [review]	Spanish-Intermediate	Y
mejorar [improve]	Spanish-Intermediate	Y
pronunciación [pronunciation]	Spanish-Intermediate	Y
gramática [grammar]	Spanish-Intermediate	Y
cultura [culture]	Spanish-Intermediate	Y
fiesta [holiday]	Spanish-Intermediate	Y
Año Nuevo [New Year]	Spanish-Intermediate	Y
Día de Muertos [Day of the Dead]	Spanish-Intermediate	Y
Año del Dragón [Year of the Dragon]	Spanish-Intermediate	Y
salud [health]	Spanish-Intermediate	Y
H?O [water]	Chemistry	Y
O? [oxygen]	Chemistry	Y
NaCl [salt]	Chemistry	Y
CO? [carbon dioxide]	Chemistry	Y
Fe [iron]	Chemistry	Y
Au [gold]	Chemistry	Y
Ag [silver]	Chemistry	Y
Cu [copper]	Chemistry	Y
H [hydrogen]	Chemistry	Y
He [helium]	Chemistry	Y
N? [nitrogen]	Chemistry	Y
C [carbon]	Chemistry	Y
Pb [lead]	Chemistry	Y
Hg [mercury]	Chemistry	Y
Sn [tin]	Chemistry	Y
Al [aluminum]	Chemistry	Y
Ca [calcium]	Chemistry	Y
K [potassium]	Chemistry	Y
Na [sodium]	Chemistry	Y
Cl [chlorine]	Chemistry	Y
S [sulfur]	Chemistry	Y
P [phosphorus]	Chemistry	Y
Ne [neon]	Chemistry	Y
Ar [argon]	Chemistry	Y
Pt [platinum]	Chemistry	Y
combustion [fire reaction]	Chemistry	Y
acid [low pH substance]	Chemistry	Y
base [high pH substance]	Chemistry	Y
pH [acid-base scale]	Chemistry	Y
neutral [neither acid nor base]	Chemistry	Y
density [how compact matter is]	Chemistry	Y
carbon dioxide [CO?]	Chemistry	Y
hydrogen peroxide [H?O?]	Chemistry	Y
ammonia [NH?]	Chemistry	Y
reactant [before reaction]	Chemistry	Y
product [after reaction]	Chemistry	Y
catalyst [reaction helper]	Chemistry	Y
alkali metals [lithium sodium potassium]	Chemistry	Y
alkaline earth metals [beryllium magnesium calcium]	Chemistry	Y
halogens [fluorine chlorine bromine]	Chemistry	Y
noble gases [helium neon argon]	Chemistry	Y
transition metals [iron copper zinc]	Chemistry	Y
metalloids [silicon germanium arsenic]	Chemistry	Y
lanthanides [cerium europium gadolinium]	Chemistry	Y
actinides [uranium plutonium thorium]	Chemistry	Y
ionic bond [metal to nonmetal]	Chemistry	Y
covalent bond [nonmetal to nonmetal]	Chemistry	Y
metallic bond [metal to metal]	Chemistry	Y
hydrogen bond [water cohesion]	Chemistry	Y
orbital [s p d f]	Chemistry	Y
Avogadro\'s number [6.022 × 10²³]	Chemistry	Y
Arrhenius acid [proton donor]	Chemistry	Y
Arrhenius base [hydroxide donor]	Chemistry	Y
buffer [weak acid plus salt]	Chemistry	Y
pH scale [0 to 14 range]	Chemistry	Y
organic chemistry [hydrocarbon based]	Chemistry	Y
hydrocarbon [alkane alkene alkyne]	Chemistry	Y
alkane [saturated hydrocarbon]	Chemistry	Y
alkene [unsaturated hydrocarbon]	Chemistry	Y
alkyne [unsaturated hydrocarbon]	Chemistry	Y
alcohol [OH functional group]	Chemistry	Y
carboxylic acid [organic acid]	Chemistry	Y
ester [fruity smell compound]	Chemistry	Y
amine [NH? functional group]	Chemistry	Y
synthesis reaction [combination reaction]	Chemistry	Y
